Image_Point,Vertical_Mean,Vertical_Std,Horizontal_Mean,Horizontal_Std
ML-FA38_05, 0.7677685950413223, 0.19249103080429414, 0.8016528925619835, 0.15372419197989792
ML-FA28_04, 0.7938016528925621, 0.08602818848142839, 0.7023415977961432, 0.08787371419846679
ML-FA41_06, 1.3110795454545454, 0.2052668387184821, 1.3422799422799423, 0.1814799070362898
ML-FA38_04, 0.833746556473829, 0.14720677664494838, 0.9002754820936638, 0.1760231419410446
ML-FA28_05, 0.6017906336088155, 0.11628289744774256, 0.6231404958677685, 0.08404055253732216
ML-FA45_09, 0.7881542699724517, 0.06903451549769683, 0.7231404958677686, 0.09248200992210974
ML-FA44_06, 0.753168044077135, 0.11806778164455099, 0.8356534090909091, 0.2098695032326956
ML-FA38_07, 0.7012396694214876, 0.134653057668532, 0.6855371900826446, 0.11932040294642383
ML-FA28_06, 0.7662534435261708, 0.07897992833421233, 1.3505509641873277, 0.47817147122398346
ML-FA36_09, 1.3616477272727274, 0.24859870056067176, 1.3918732782369145, 0.19655261279487185
ML-FA38_06, 0.8315426997245179, 0.13645744887800834, 0.8260330578512397, 0.20877858074213487
ML-FA30_07, 0.2725895316804408, 0.17241157480017094, 0.3560606060606061, 0.06425483273272117
ML-FA36_05, 1.3074380165289257, 0.2060013025843259, 1.342135642135642, 0.17185777647799688
ML-FA42_08, 0.8258953168044076, 0.15866525050751862, 0.9011019283746556, 0.17561394685749449
ML-FA29_05, 0.7921678321678322, 0.16453426475939864, 0.8402203856749311, 0.16761359303215095
ML-FA30_05, 0.20922865013774106, 0.18518570440116736, 0.39159779614325074, 0.0751042452098179
ML-FA36_07, 1.3792011019283745, 0.14257449273713574, 1.3215542521994135, 0.15705427738089683
ML-FA29_06, 0.7903496503496505, 0.1127687372767732, 0.8519283746556473, 0.14368556844130137
ML-FA39_07, 0.6570247933884297, 0.10317457231806883, 0.8972027972027973, 0.08038247851958313
ML-FA45_07, 0.7564738292011018, 0.10625933940792143, 0.8584022038567494, 0.1204597234300619
ML-FA38_09, 0.737465564738292, 0.17276725035051294, 0.7013774104683197, 0.18914468948224505
